username,followers,tier,like_ratio_percent,comment_ratio_percent,median_views,hidden_like_count,result,human_likeness_score,ai_origin_likely,reasoning,exclusion_reason,discovered_from_seed
365.sports.extra,224094,mid,1.5846028898587199,0.03324497755406213,,0,excluded,,,"scoring_failed (Gemini) — manually verified: sports content, not target niche",excluded_off_niche,sophiaalvarezz_
_ellietheempress_,1580824,mega,0.3095853807887532,0.009014286220350906,,0,pass,4,True,"Unnaturally smooth skin texture, artificial facial sheens, and subtle anatomical rendering artifacts in the hands and facial movement indicate AI generation.",,lovejadet33n
_hann_char_,,,,,,,,,,,excluded_restricted,kassidy.46
_itsmollygrace_,3962,small,2.612317011610298,0.5174154467440686,,0,pass,7,True,"Hyper-smooth skin, stylized rim lighting, and overly uniform fabric details point to AI generation despite consistent anatomy.",,alexus.rae
_jenniferhong,625,,,,,,,,,,excluded_out_of_range,mikaylademaiter
_mariechaix_,71566,small,0.2012128664449599,0.0013973115725344437,573.0,0,excluded,,,"scoring_failed (Gemini) — manually verified: not target niche content",excluded_off_niche,alessi.vice
_mattward_,3143,small,,,,,,,,,excluded_thin_sample,mikaylademaiter
_mybabyboosh_,,,,,,,,,,,excluded_restricted,lovejadet33n
_paulalewis,759,,,,,,,,,,excluded_out_of_range,mikaylademaiter
abby.joyride,6898,small,1.2829805740794433,1.6888953319802842,,0,pass,4,True,"Overly smooth skin texture, synthetic lighting, subtle limb/hand distortions, and characteristic AI video generation artifacts.",,jennifer.st.jaimes
abbychamplin_,,,,,,,,,,,excluded_restricted,cowgirl.jess05
abbykbae,,,,,,,,,,,excluded_restricted,lovejadet33n
adriana_ember_1,,,,,,,,,,,excluded_restricted,jennifer.st.jaimes
