username,video_filename,local_path,caption,likesCount,commentsCount,videoViewCount,hook,core_action,payoff_or_cta,format_category,variable_elements,transcript_snippet,tagging_status,consolidated_format
ritafaez,DY-bG6vsCXx.mp4,library/ritafaez/DY-bG6vsCXx.mp4,Come party together 🎉,37637,543,2333663,"A stylishly dressed woman sitting at an outdoor beach club at night, looking at the camera while grooving to background music.","Sitting outdoors at a nightlife venue on the sand, swaying, smiling, and dancing softly to the music.",A charming glance at the camera paired with a caption inviting viewers to 'Come party together 🎉'.,nightout vibe showcase,"The outfit, nighttime venue location, audio track, and caption prompt.",,ok,Aesthetic Lifestyle Showcase
ritafaez,DdMAjDmMUYY.mp4,library/ritafaez/DdMAjDmMUYY.mp4,🍵🍵,2356,51,243613,"A stylishly dressed woman makes intense, direct eye contact with the camera while holding a bright green iced matcha latte.",She brings the clear mug to her lips and takes a slow sip while maintaining eye contact.,"She lowers the glass, reacts with a subtle smirk, and shifts into a chic, effortless pose.",aesthetic vibe check,"The creator's outfit, beverage type, cafe/setting background, and facial expression/vibe.",,ok,Aesthetic Lifestyle Showcase
ritafaez,DdL8Rz4MTGy.mp4,library/ritafaez/DdL8Rz4MTGy.mp4,👀,19419,389,274634,"A model stands in shallow ocean water on a beach facing away from the camera, glancing over her shoulder.","The model turns around to face the camera, fixing her hair and posing in her bikini on the beach.",A full front reveal of the bikini outfit while posing against the scenic coastal backdrop.,outfit turn-around reveal,"The featured swimsuit or outfit, the beach or holiday location, and the specific turn-around posing routine.",,ok,Outfit Showcase Reveal
ritafaez,DdT-IQiMnrO.mp4,library/ritafaez/DdT-IQiMnrO.mp4,,3042,54,218179,A stylish woman riding passenger in an open-air buggy takes a sip from an iced drink while breeze flows through her hair.,Sipping a cold drink and relaxing passenger-side while cruising through a sunny vacation destination in an open vehicle.,"She leans back, looks into the camera, and smiles warmly, capturing an effortless summer aesthetic mood.",aesthetic lifestyle vibe,"The vehicle type (dune buggy, convertible, boat), outfit/styling, scenic location, drink type, and background trending audio track.",,ok,Aesthetic Lifestyle Showcase
ritafaez,DdEtodwM1W0.mp4,library/ritafaez/DdEtodwM1W0.mp4,Catch me if u can🍵,8148,175,119522,A stylish woman walks towards the camera on a sunlit city street holding an iced matcha drink.,"Strutting casually down a city street while maintaining eye contact with the camera, holding an iced drink and purse.","Resolves with a close-up perspective as she approaches the camera, complemented by a playful caption ('Catch me if u can🍵').",Aesthetic street walk,"The outfit and styling, iced drink/accessory carried, European/city location, and playful caption line.",,ok,Aesthetic Lifestyle Showcase
deannaritter98,DTsnla1EYI-.mp4,library/deannaritter98/DTsnla1EYI-.mp4,Hi. I'm Deanna. Nice to meet ya! ❤️,13381,378,297460,"A woman looking away turns slowly toward the camera to establish direct, intense eye contact with the viewer.","Holding a selfie camera, she poses in activewear and transitions her expression from a serious, alluring gaze to a warm, inviting smile.","She breaks into a friendly smile and gentle laugh close to the camera, creating an intimate introduction to the audience.",POV introduction,"The creator, outfit style, background setting, audio track, and the expression switch from intense/serious to warm/smiling.",,ok,POV Expression Introduction
deannaritter98,DUa6Cw7kRhO.mp4,library/deannaritter98/DUa6Cw7kRhO.mp4,And away we go! ❤️,7466,466,120104,A woman stands in a full-length mirror showcasing a stylish night-out outfit in a glamorous bathroom setting.,"Posing in the mirror from various angles, including tilting down to show shoes and turning to show the side profile of the outfit.",Strikes a final side-profile pose displaying the complete look before going out.,mirror selfie OOTD,"The featured outfit, location setting, accessories, and background audio.",,ok,Outfit Showcase Reveal
deannaritter98,DTnR3LDEYo_.mp4,library/deannaritter98/DTnR3LDEYo_.mp4,I showed my friend this. And she thought I was an idiot. lol. What do you think?,8311,309,124388,"A creator poses and sways in golden hour light wearing a grey lounge set, paired with a caption claiming her friend thought she was an idiot.","Playfully dancing, lip-syncing, and displaying a loungewear set in her apartment.","Ends with a cheerful smile and gesture, while the caption asks viewers 'What do you think?' to drive comment section engagement.",reaction bait dance,"The outfit featured, the relatable/controversial caption story, the choice of trending audio, and the lighting/setting.",,ok,Reaction Engagement Bait
deannaritter98,DW3xR5tg_nt.mp4,library/deannaritter98/DW3xR5tg_nt.mp4,And the truth shall set you free! lol ❤️,5238,384,86165,A woman on a tropical beach makes a dramatic animated expression directly toward the camera.,"Posing, smiling, and adjusting her hair playfully in swimwear on a beach at golden hour.","Ends with a candid, confident smile and pose towards the camera.",Aesthetic lifestyle showcase,"The scenic location, outfit styling, opening facial reaction or audio line, and music track.",,ok,Aesthetic Lifestyle Showcase
deannaritter98,DZ-Y0QuRMpY.mp4,library/deannaritter98/DZ-Y0QuRMpY.mp4,Happens more often than you'd think. lol ❤️ 307,4923,288,79428,"Woman in a bikini shops in a grocery aisle, drawing shocked looks from shoppers.",Browsing groceries while background onlookers react with visible disapproval.,"Subject turns to the camera, laughs, and poses playfully.",public reaction stunt,"Outlandish outfit, public setting, and bystander reactions.",,ok,Reaction Engagement Bait
aiemilyrae,DS0ybD_kp6v.mp4,library/aiemilyrae/DS0ybD_kp6v.mp4,"Being a girls girl isn’t just a vibe — it’s a choice. It’s showing up when it’s inconvenient, clapping the loudest when your friend wins, and holding space when she’s falling apart instead of competing in silence. It’s checking in, keeping secrets safe, and reminding the people you love who they are on the days they forget. In a world that profits off comparison, sisterhood is rebellion. If you’re the friend who shows up, stays soft, and loves loudly — this one’s for you. 💌✨",18174,338,1175964,A woman speaking directly into a podcast microphone delivering a bold statement defining what it means to be a true 'girl's girl'.,A talking-head podcast clip where the speaker shares heartfelt advice and philosophical thoughts on female friendship and support.,Affirms supportive friends with a dedicated message validating their loyalty and kindness.,podcast clip,"The featured social relationship theme (e.g., sisterhood, self-love, boundaries), the key thesis statement, and the targeted audience message.",,ok,Podcast Talking-Head Clip
aiemilyrae,DTlOELOESpl.mp4,library/aiemilyrae/DTlOELOESpl.mp4,"She doesn’t just receive - she multiples. 🤍
This is feminine energy.",8802,256,429445,A woman seated at a podcast microphone opens with an intriguing statement about feminine energy and receiving value.,"Speaking directly into a professional podcast microphone, sharing mindset and relationship philosophy.","Delivers a powerful perspective on feminine energy, highlighting how women multiply what they receive.",podcast clip,"The central thesis/quote, the speaker's background/appearance, the podcast studio setup, and the specific topic discussed (e.g., feminine energy, personal growth, relationship advice).",,ok,Podcast Talking-Head Clip
aiemilyrae,DUeIuhqkgPV.mp4,library/aiemilyrae/DUeIuhqkgPV.mp4,Valentines look 👀♥️,19290,182,445330,A bare-faced woman with hair in a bun points down and places her palm over the camera lens to hide the screen.,A seamless hand-cover camera transition revealing a dramatic visual makeup and hair transformation.,"The creator poses and shows off the completed Valentine's Day glam look featuring pink eyeshadow, heart eye gems, and heart hair accessories.",makeup transformation transition,"The makeup theme/holiday (e.g., Valentine's Day, Halloween, NYE), specific hair accessories, makeup aesthetic, and transition gesture.",,ok,Transformation Reveal Transition
aiemilyrae,DUbmL7skr5N.mp4,library/aiemilyrae/DUbmL7skr5N.mp4,"To every man out there 🤭

#trend #aiinfluencer #fyp",8269,152,282537,"A blonde woman waves playfully at the camera with a bright, welcoming smile.","A model poses flirtatiously for the camera, smiling, winking, and running a hand through her hair in a selfie video format.",She points directly at the camera with a cheeky wink and smile.,thirst trap,"the model's outfit and hair, the direct audience callout in the caption, the specific flirty gestures, and the background music/audio track",,ok,Flirty Playful Pose
